way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532436,service,1.2759773,103.8468516,156.34208222670816
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,7028101351,service,1.2759595,103.8468594,184.6152123765037
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,7028101352,service,1.2759434,103.8468581,193.36009154842662
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532509,service,1.2758992,103.8468476,195.46654610428894
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532427,service,1.2757731,103.8468127,178.658872391592
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532536,service,1.2756578,103.8468154,164.74027066630572
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532461,service,1.2755398,103.8468476,145.1522029630089
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532414,service,1.2754782,103.8468905,133.7164171374734
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532412,service,1.2754218,103.8469495,138.83148565975068
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532390,service,1.2753827,103.8469837,164.47954939909164
